"Group.router","Group.bufferSize","Events2.interval","Scenario.name","Scenario.simulateConnections","Scenario.updateInterval","Scenario.endTime","Scenario.nrofHostGroups","Scenario.nrofHosts","interface1.type","interface1.transmitSpeed","interface1.transmitRange","interface2.type","interface2.transmitSpeed","interface2.transmitRange","Group.movementModel","Group.nodeLocation","Group.nrofInterfaces","Group.msgTtl","Group.groupID","Group.deleteDelivered","Events.nrof","Events1.class","Events1.filePath","Events2.class","Events2.hosts","Events2.size","Events2.prefix","BFGMPRouter.degradationInterval","BFGMPRouter.BFCounters","BFGMPRouter.BFHashFunctions","BFGMPRouter.BFMaxCount","BFGMPRouter.expWeight","SprayAndWaitRouter.nrofCopies","SprayAndWaitRouter.binaryMode","MaxPropRouter.probSetMaxSize","ProphetRouter.secondsInTimeUnit","Group1.nrofHosts","Group1.interface1","Group2.nrofHosts","Group2.interface1","MovementModel.rngSeed","MovementModel.worldSize","Report.nrofReports","Report.reportDir","Report.report1","Optimization.cellSizeMult","Optimization.randomizeUpdateOrder"
"EpidemicOracleRouter","50M","25,35","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","75M","25,35","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","100M","25,35","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","150M","25,35","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","200M","25,35","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","50M","5,25","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","75M","5,25","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","100M","5,25","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","150M","5,25","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","200M","5,25","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","50M","35,60","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","75M","35,60","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","100M","35,60","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","150M","35,60","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","200M","35,60","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","50M","60, 120","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","75M","60, 120","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","100M","60, 120","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","150M","60, 120","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
"EpidemicOracleRouter","200M","60, 120","infocom06_%%Group.router%%_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%Events2.prefix%%]_[%%Group.bufferSize%%]_[%%Events2.interval%%]","false",5,302400,2,98,"SimpleBroadcastInterface","125k",30,"SimpleBroadcastInterface","125k",30,"StationaryMovement","50, 50",1,300,"n","true",2,"ExternalEventsQueue","/home/jairo/Mobility/haggle-one-infocom2006-complete/haggle-one-infocom2006-complete.tsv","MessageEventGenerator","0,98","50k,500k","['m'; 'M'; 'ms'; 'mg'; 'mM'; 'me'; 'mE'; 'sg'; 'sM'; 'se'; 'sE'; 'gM'; 'ge'; 'gE'; 'Me'; 'ME'; 'eE'; 'msg'; 'msM'; 'mse'; 'msE'; 'mgM'; 'mge'; 'mgE'; 'meE'; 'sgM'; 'sge'; 'sgE'; 'sMe'; 'sME'; 'seE'; 'gMe'; 'gME'; 'geE'; 'MeE'; 'msgM'; 'msge'; 'msgE'; 'msMe'; 'msME'; 'mseE'; 'mgMe'; 'mgME'; 'mgeE'; 'mMeE'; 'sgMe'; 'sgME'; 'sgeE'; 'sMeE'; 'gMeE']",300,128,8,32,4,8,"true",50,30,78,"interface1",20,"interface2",0,"100, 100",1,"/home/jairo/Simulaciones/CRAWDAD/infocom06","MessageStatsReport",5,"true"
